C:\Users\student\Desktop\dataset\IMG\center_2019_05_03_14_05_29_767.jpg,C:\Users\student\Desktop\dataset\IMG\left_2019_05_03_14_05_29_767.jpg,C:\Users\student\Desktop\dataset\IMG\right_2019_05_03_14_05_29_767.jpg,0,0,0,8.724442E-06
C:\Users\student\Desktop\dataset\IMG\center_2019_05_03_14_05_29_841.jpg,C:\Users\student\Desktop\dataset\IMG\left_2019_05_03_14_05_29_841.jpg,C:\Users\student\Desktop\dataset\IMG\right_2019_05_03_14_05_29_841.jpg,0,0,0,2.684378E-05
C:\Users\student\Desktop\dataset\IMG\center_2019_05_03_14_05_29_912.jpg,C:\Users\student\Desktop\dataset\IMG\left_2019_05_03_14_05_29_912.jpg,C:\Users\student\Desktop\dataset\IMG\right_2019_05_03_14_05_29_912.jpg,0,0,0,2.784883E-06
C:\Users\student\Desktop\dataset\IMG\center_2019_05_03_14_05_29_985.jpg,C:\Users\student\Desktop\dataset\IMG\left_2019_05_03_14_05_29_985.jpg,C:\Users\student\Desktop\dataset\IMG\right_2019_05_03_14_05_29_985.jpg,0,0,0,4.637131E-06
C:\Users\student\Desktop\dataset\IMG\center_2019_05_03_14_05_30_060.jpg,C:\Users\student\Desktop\dataset\IMG\left_2019_05_03_14_05_30_060.jpg,C:\Users\student\Desktop\dataset\IMG\right_2019_05_03_14_05_30_060.jpg,0,0,0,1.870148E-05
C:\Users\student\Desktop\dataset\IMG\center_2019_05_03_14_05_30_132.jpg,C:\Users\student\Desktop\dataset\IMG\left_2019_05_03_14_05_30_132.jpg,C:\Users\student\Desktop\dataset\IMG\right_2019_05_03_14_05_30_132.jpg,0,0,0,2.192436E-05
C:\Users\student\Desktop\dataset\IMG\center_2019_05_03_14_05_30_206.jpg,C:\Users\student\Desktop\dataset\IMG\left_2019_05_03_14_05_30_206.jpg,C:\Users\student\Desktop\dataset\IMG\right_2019_05_03_14_05_30_206.jpg,0,0,0,1.274886E-05
C:\Users\student\Desktop\dataset\IMG\center_2019_05_03_14_05_30_279.jpg,C:\Users\student\Desktop\dataset\IMG\left_2019_05_03_14_05_30_279.jpg,C:\Users\student\Desktop\dataset\IMG\right_2019_05_03_14_05_30_279.jpg,0,0,0,5.058475E-06
C:\Users\student\Desktop\dataset\IMG\center_2019_05_03_14_05_30_352.jpg,C:\Users\student\Desktop\dataset\IMG\left_2019_05_03_14_05_30_352.jpg,C:\Users\student\Desktop\dataset\IMG\right_2019_05_03_14_05_30_352.jpg,0,0,0,2.907598E-06
C:\Users\student\Desktop\dataset\IMG\center_2019_05_03_14_05_30_425.jpg,C:\Users\student\Desktop\dataset\IMG\left_2019_05_03_14_05_30_425.jpg,C:\Users\student\Desktop\dataset\IMG\right_2019_05_03_14_05_30_425.jpg,0,0,0,7.001737E-06
C:\Users\student\Desktop\dataset\IMG\center_2019_05_03_14_05_30_499.jpg,C:\Users\student\Desktop\dataset\IMG\left_2019_05_03_14_05_30_499.jpg,C:\Users\student\Desktop\dataset\IMG\right_2019_05_03_14_05_30_499.jpg,0,0,0,1.703155E-05
C:\Users\student\Desktop\dataset\IMG\center_2019_05_03_14_05_30_572.jpg,C:\Users\student\Desktop\dataset\IMG\left_2019_05_03_14_05_30_572.jpg,C:\Users\student\Desktop\dataset\IMG\right_2019_05_03_14_05_30_572.jpg,0,0,0,1.506892E-05
C:\Users\student\Desktop\dataset\IMG\center_2019_05_03_14_05_30_644.jpg,C:\Users\student\Desktop\dataset\IMG\left_2019_05_03_14_05_30_644.jpg,C:\Users\student\Desktop\dataset\IMG\right_2019_05_03_14_05_30_644.jpg,0,0,0,2.168853E-06
C:\Users\student\Desktop\dataset\IMG\center_2019_05_03_14_05_30_718.jpg,C:\Users\student\Desktop\dataset\IMG\left_2019_05_03_14_05_30_718.jpg,C:\Users\student\Desktop\dataset\IMG\right_2019_05_03_14_05_30_718.jpg,0,0,0,1.307163E-05
C:\Users\student\Desktop\dataset\IMG\center_2019_05_03_14_05_30_791.jpg,C:\Users\student\Desktop\dataset\IMG\left_2019_05_03_14_05_30_791.jpg,C:\Users\student\Desktop\dataset\IMG\right_2019_05_03_14_05_30_791.jpg,0,0,0,2.01079E-05
C:\Users\student\Desktop\dataset\IMG\center_2019_05_03_14_05_30_865.jpg,C:\Users\student\Desktop\dataset\IMG\left_2019_05_03_14_05_30_865.jpg,C:\Users\student\Desktop\dataset\IMG\right_2019_05_03_14_05_30_865.jpg,0,0,0,1.909307E-05
C:\Users\student\Desktop\dataset\IMG\center_2019_05_03_14_05_30_938.jpg,C:\Users\student\Desktop\dataset\IMG\left_2019_05_03_14_05_30_938.jpg,C:\Users\student\Desktop\dataset\IMG\right_2019_05_03_14_05_30_938.jpg,0,0,0,1.77763E-06
